rho0_g_cc,Us_km_s,Up_km_s,P_GPa,V_cc_g,rho_g_cc,V_V0,Exp
0.867,1.310,0.000,0.000,1.1534,0.867,1.000,ssp
0.867,2.080,0.290,0.523,0.9926,1.007,0.861,im2
0.867,2.490,0.450,0.971,0.9450,1.058,0.819,im2
0.867,3.010,0.770,2.009,0.8583,1.165,0.744,im2
0.867,3.470,1.070,3.219,0.7977,1.254,0.692,im2
0.876,4.071,1.387,4.946,0.7526,1.329,0.659,im1
0.867,4.160,1.580,5.699,0.7153,1.398,0.620,im2
0.867,4.460,1.720,6.651,0.7086,1.411,0.614,im2
0.879,5.661,2.351,11.699,0.6652,1.503,0.585,im1
0.867,5.840,2.670,13.519,0.6261,1.597,0.543,im2
0.867,6.100,2.870,15.179,0.6107,1.637,0.530,im2
0.867,6.020,2.900,15.136,0.5978,1.673,0.518,im2
0.867,6.260,3.070,16.662,0.5878,1.701,0.510,im2
0.867,6.400,3.470,19.254,0.5280,1.894,0.458,im2
0.867,6.960,3.940,23.775,0.5005,1.998,0.434,im2
0.867,7.960,4.450,30.711,0.5086,1.966,0.441,im2
0.867,8.870,5.230,40.220,0.4733,2.113,0.410,im2
0.867,8.680,5.280,39.735,0.4518,2.213,0.392,im2
