rho0_g_cc,Us_km_s,Up_km_s,P_GPa,V_cc_g,rho_g_cc,V_V0,Exp
1.650,2.000,0.560,1.848,0.4364,2.292,0.720,im2
1.650,2.440,0.780,3.140,0.4123,2.425,0.680,im2
1.650,2.680,0.940,4.157,0.3935,2.541,0.649,im2
1.650,3.530,1.290,7.514,0.3846,2.600,0.635,im2
1.650,4.170,1.780,12.247,0.3474,2.879,0.573,im2
1.650,5.020,2.280,18.885,0.3308,3.023,0.546,im2
1.650,5.310,2.350,20.590,0.3378,2.960,0.557,im2
1.650,5.690,2.490,23.377,0.3408,2.934,0.562,im2
1.650,6.130,3.020,30.546,0.3075,3.252,0.507,im2
1.650,6.750,3.320,36.976,0.3080,3.247,0.508,im2
1.650,7.210,3.600,42.827,0.3035,3.295,0.501,im2
1.650,7.650,3.990,50.364,0.2900,3.449,0.478,im2
1.650,8.490,4.600,64.439,0.2777,3.601,0.458,im2
