rho0_g_cc,Us_km_s,Up_km_s,P_GPa,V_cc_g,rho_g_cc,V_V0,Exp
8.882,4.523,0.000,0.000,0.1126,8.882,1.000,ssp
8.860,5.352,0.470,22.287,0.1030,9.713,0.912,im1
8.905,5.275,0.511,24.004,0.1014,9.860,0.903,im1
8.905,5.509,0.656,32.182,0.0989,10.109,0.881,im1
8.860,5.585,0.657,32.510,0.0996,10.041,0.882,im1
8.860,5.553,0.666,32.767,0.0993,10.067,0.880,im1
8.860,5.881,0.865,45.071,0.0963,10.388,0.853,im1
8.860,5.959,0.935,49.365,0.0952,10.509,0.843,im1
8.905,5.917,0.938,49.424,0.0945,10.583,0.841,im1
8.860,5.898,0.959,50.114,0.0945,10.580,0.837,im1
8.860,7.029,1.607,100.079,0.0871,11.486,0.771,im1
8.860,6.903,1.622,99.202,0.0863,11.581,0.765,im1
8.860,6.864,1.624,98.764,0.0862,11.606,0.763,im1
8.905,7.144,1.808,115.020,0.0839,11.922,0.747,im1
8.905,7.253,1.856,119.875,0.0836,11.967,0.744,im1
8.905,7.624,2.102,142.708,0.0813,12.295,0.724,im1
8.860,7.686,2.123,144.572,0.0817,12.241,0.724,im1
8.860,7.704,2.134,145.661,0.0816,12.254,0.723,im1
8.860,7.670,2.145,145.766,0.0813,12.300,0.720,im1
