rho0_g_cc,Us_km_s,Up_km_s,P_GPa,V_cc_g,rho_g_cc,V_V0,Exp
2.779,6.351,0.926,16.343,0.3074,3.253,0.854,im1
2.804,6.557,1.226,22.541,0.2900,3.449,0.813,im1
2.809,6.911,1.686,32.730,0.2691,3.715,0.756,im1
2.792,6.894,1.719,33.087,0.2689,3.719,0.751,im1
2.793,7.014,2.025,39.670,0.2547,3.927,0.711,im1
2.822,7.138,2.289,46.108,0.2407,4.154,0.679,im1
2.837,7.307,2.471,51.224,0.2333,4.287,0.662,im1
2.777,7.494,2.658,55.315,0.2324,4.303,0.645,im1
2.790,8.316,3.182,73.828,0.2213,4.519,0.617,im1
2.800,8.311,3.283,76.398,0.2161,4.628,0.605,im1
2.758,8.510,3.326,78.063,0.2209,4.528,0.609,im1
2.833,8.881,3.457,86.978,0.2156,4.639,0.611,im1
2.838,8.988,3.558,90.757,0.2129,4.698,0.604,im1
